map_name,raw_box_size_pixel,raw_pixel_size_angstrom
emd_26606,256,0.825
emd_26725,384,1.0428
emd_26748,150,1.48
emd_27201,400,0.828
emd_27322,540,1.1
emd_27871,256,0.8726
emd_29374,360,0.66
emd_29521,416,0.832
emd_29543,384,0.852
emd_29544,384,0.852
emd_29545,384,0.852
emd_29638,256,0.8726
emd_29863,400,0.84300005
emd_29973,320,0.8349999
emd_33173,200,1.052
emd_33220,512,0.82
emd_33672,200,1.0825
emd_33891,320,0.83000004
emd_34687,512,0.82
emd_34905,280,1.087
emd_34937,400,1.087
emd_34939,400,1.087
emd_40283,128,1.62
emd_40286,300,1.08
emd_40290,192,1.066
emd_14594,320,0.8512
emd_14643,288,0.837
emd_14652,288,0.837
emd_14653,288,0.837
emd_14667,288,0.837
emd_14670,288,0.837
emd_14671,288,0.837
emd_14675,288,0.837
emd_14684,288,0.837
emd_14737,368,1.1
emd_14993,450,0.869
emd_15714,320,1.07
emd_15717,320,1.07
emd_16383,512,0.82
emd_16576,320,0.8512
emd_16694,400,1.092
emd_26817,512,0.848
emd_26822,640,0.72
emd_27258,256,1.12
emd_27776,320,1.08
emd_27999,300,1.245
emd_28540,520,1.03
emd_29396,448,0.83
emd_29482,400,0.84300005
emd_29516,384,0.925
emd_29520,416,0.832
emd_29757,640,0.82600003
emd_29881,320,1.07325
emd_29882,320,1.07325
emd_33175,200,1.052
emd_33177,200,1.052
emd_33403,800,1.09
emd_33708,256,0.85
emd_33710,256,0.92
emd_33796,500,0.66
emd_34016,400,1.13
emd_34627,256,1.045
emd_34632,256,1.045
emd_40275,192,1.066
emd_40280,384,1.066
emd_40282,192,1.066
emd_40288,300,1.08
emd_40289,320,1.07
emd_14564,320,0.8512
emd_14597,320,0.8512
emd_14641,288,0.837
emd_14645,288,0.837
emd_14740,216,1.29
emd_16042,280,1.05
emd_16364,256,1.06
emd_16575,320,0.8512
emd_26818,512,0.848
emd_26820,640,0.72
emd_26821,640,0.72
emd_27996,384,0.833
emd_27997,384,0.833
emd_27998,300,1.245
emd_28646,440,0.828
emd_29032,360,1.08
emd_29515,384,0.925
emd_29517,384,0.925
emd_29518,416,0.83
emd_29519,416,0.83
emd_29771,896,0.6472
emd_29836,320,1.0733
emd_29861,288,0.83
emd_29905,288,1.0733
emd_32953,288,0.685
emd_33171,200,1.052
emd_33172,200,1.052
emd_33176,200,1.052
emd_33404,800,1.09
emd_34397,300,1.014
emd_34398,280,1.1
emd_34815,790,1.4
emd_34904,240,1.087
emd_40205,640,0.82600003
emd_40274,192,1.066
emd_40281,320,1.066
emd_40287,300,1.08
emd_40291,320,1.04
emd_14561,320,0.8512
emd_14636,288,0.837
emd_14638,288,0.837
emd_14647,288,0.837
emd_14649,288,0.837
emd_14654,288,0.831
emd_14655,288,0.837
emd_14656,288,0.837
emd_14657,288,0.837
emd_14659,288,0.837
emd_14660,288,0.837
emd_14662,288,0.837
emd_14663,288,0.837
emd_14665,288,0.837
emd_14668,288,0.837
emd_14672,288,0.837
emd_14674,288,0.837
emd_14676,288,0.837
emd_14741,216,1.29
emd_15716,320,1.07
emd_16388,512,0.82
emd_16578,160,1.885
emd_16579,160,1.885
emd_16580,160,1.885
emd_16581,160,1.885
emd_16582,320,0.8512
emd_16583,160,1.885
emd_16584,160,1.885
emd_16764,160,1.885
emd_16766,160,1.885
emd_26819,512,0.848
emd_27256,256,1.12
emd_27822,400,0.828
emd_28000,300,1.245
emd_28001,300,1.245
emd_28002,300,1.245
emd_29357,400,0.84300005
emd_29759,640,0.82600003
emd_29880,320,1.07325
emd_34049,448,0.96
emd_40273,320,1.066
emd_40279,320,1.066
emd_14610,160,1.885
emd_14611,160,1.885
emd_14612,160,1.885
emd_14614,160,1.885
emd_14615,160,1.885
emd_14616,160,1.885
emd_16585,160,1.885
emd_16586,160,1.885
emd_16587,160,1.885
emd_16588,160,1.885
emd_16589,160,1.885
emd_16617,160,1.885
emd_16621,160,1.885
emd_16622,160,1.885
emd_16623,160,1.885
emd_16633,256,1.325
emd_16765,160,1.885
emd_28541,200,1.03
emd_28542,520,1.15
emd_28900,288,0.81
emd_29766,640,0.82600003
emd_29768,640,0.82600003
emd_29782,896,0.6472
emd_29870,400,0.84300005
emd_33405,800,1.09
emd_33415,512,0.778
emd_34227,384,1.4
emd_34229,288,1.4
emd_34230,384,1.4
emd_34236,384,1.4
emd_34624,256,1.045
emd_34625,256,1.045
emd_34626,256,1.045
emd_34628,256,1.045
emd_34631,256,1.045
emd_34633,256,1.045
emd_34634,256,1.045
emd_34635,256,1.045
emd_34986,384,1.05
emd_34987,384,1.05
emd_34988,384,1.05
emd_34990,384,1.05
emd_34991,384,1.05
emd_14479,486,1.1
emd_14598,320,0.8512
emd_14599,320,0.8512
emd_14601,320,0.8512
emd_14602,320,0.8512
emd_14603,320,0.8512
emd_14604,320,0.8512
emd_14605,320,0.8512
emd_14606,320,0.8512
emd_14607,320,0.8512
emd_14608,160,1.885
emd_14613,160,1.885
emd_14805,416,1.41
emd_14806,416,1.41
emd_14807,416,1.41
emd_14809,256,1.34
emd_15213,250,1.568
emd_15218,320,0.786
emd_16150,400,1.08
emd_16151,400,1.08
emd_27432,512,0.653
